movie_name,movie_date,movie_description,movie_rate,movie_director,movie_type,movie_lanuage,movie_star
英雄本色,1986,英雄泪短，兄弟情长。 ,131124人评价,吴宇森 John Woo,动作 犯罪,香港,8.7
傲慢与偏见,2005,爱是摈弃傲慢与偏见之后的曙光。,269884人评价,乔·怀特 Joe Wright,剧情 爱情,法国 英国 美国,8.4
喜宴,1993,中国家庭的喜怒哀乐忍。,119963人评价,李安,剧情 喜剧 爱情 同性 家庭,台湾 美国,8.7
教父3,1990,任何信念的力量，都无法改变命运。,116140人评价,弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情 犯罪,美国,8.7
完美的世界,1993,坏人的好总是比好人的好来得更感人。,70125人评价,克林特·伊斯特伍德 Clint Eastwood,剧情 犯罪,美国,9.0
雨中曲,1952,骨灰级歌舞片。,83587人评价,Stanley Donen / Gene Kelly,喜剧 歌舞 爱情,美国,8.9
玩具总动员3,2010,跨度十五年的欢乐与泪水。,178421人评价,李·昂克里奇 Lee Unkrich,喜剧 动画 奇幻 冒险,美国,8.7
纵横四海,1991,香港浪漫主义警匪动作片的巅峰之作。,125471人评价,吴宇森 John Woo,剧情 喜剧 动作 犯罪,香港,8.7
人工智能,2001,对爱的执着，可以超越一切。,173092人评价,史蒂文·斯皮尔伯格 Steven Spielberg,冒险 剧情 科幻,美国,8.6
萤火之森,2011,触不到的恋人。,136499人评价,大森贵弘 Takahiro Omori,剧情 爱情 动画 奇幻,日本,8.7
我是山姆,2001,爱并不需要智商 。,90827人评价,杰茜·尼尔森 Jessie Nelson,剧情 家庭,美国,8.8
小森林 夏秋篇,2014,无,104752人评价,森淳一 Junichi Mori,剧情,日本,8.9
香水,2006,一个单凭体香达到高潮的男人。,250392人评价,汤姆·提克威 Tom Tykwer,剧情 犯罪 奇幻,德国 法国 西班牙 美国,8.4
喜剧之王,1999,我是一个演员。,267916人评价,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,喜剧 剧情 爱情,香港,8.4
冰川时代,2002,松鼠才是角儿。,246542人评价,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,喜剧 动画 冒险,美国,8.4
浪潮,2008,世界离独裁只有五天。,115704人评价,丹尼斯·甘塞尔 Dennis Gansel,剧情 惊悚,德国,8.7
撞车,2004,天使与魔鬼的冲撞。,159976人评价,保罗·哈吉斯 Paul Haggis,犯罪 剧情,美国 德国,8.6
哈利·波特与死亡圣器(下),2011,10年的完美句点。,247329人评价,大卫·叶茨 David Yates,剧情 悬疑 奇幻 冒险,美国 英国,8.6
7号房的礼物,2013,《我是山姆》的《美丽人生》。,148480人评价,李焕庆 Hwan-kyeong Lee,剧情 喜剧 家庭,韩国,8.6
秒速5厘米,2007,青春就是放弃和怀念。,261948人评价,新海诚 Makoto Shinkai,动画 剧情 爱情,日本,8.4
朗读者,2008,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,257045人评价,史蒂芬·戴德利 Stephen Daldry,剧情 爱情,美国 德国,8.5
碧海蓝天,1988,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,101491人评价,Luc Besson,剧情 爱情,法国 美国 意大利,8.7
追随,1998,诺兰的牛逼来源于内心散发出的恐惧。,69266人评价,克里斯托弗·诺兰 Christopher Nolan,犯罪 悬疑 惊悚,英国,9.0
花样年华,2000,偷情本没有这样美。,215911人评价,王家卫 Kar Wai Wong,剧情 爱情,香港 法国,8.4
罗生门,1950,人生的N种可能性。,108203人评价,黑泽明 Akira Kurosawa,犯罪 剧情 悬疑,日本,8.7
战争之王,2005,做一颗让别人需要你的棋子。,158661人评价,安德鲁·尼科尔 Andrew Niccol,剧情 犯罪,美国 法国,8.5
可可西里,2004,坚硬的信仰。,116489人评价,陆川 Chuan Lu,剧情 犯罪,中国大陆 香港,8.6
梦之安魂曲,2000,一场没有春天的噩梦。,98586人评价,达伦·阿伦诺夫斯基 Darren Aronofsky,剧情,美国,8.7
海盗电台,2009,生命不止，摇滚不死。,155190人评价,理查德·柯蒂斯 Richard Curtis,剧情 喜剧 音乐,英国 德国 法国,8.6
心迷宫,2014,无,131254人评价,忻钰坤 Yukun Xin,剧情 犯罪 悬疑,中国大陆,8.6
一次别离,2011,只有有信仰的人才能说出事实真相。,117884人评价,阿斯哈·法哈蒂  Asghar Farhadi,剧情 家庭,伊朗,8.7
唐伯虎点秋香,1993,华太师是黄霑，吴镇宇四大才子之一。,278194人评价,李力持 Lik-Chi Lee,喜剧 爱情 古装,香港,8.3
超能陆战队,2014,无,326820人评价,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,喜剧 动作 科幻 动画 冒险,美国,8.6
谍影重重2,2004,谁说王家卫镜头很晃？,143305人评价,保罗·格林格拉斯 Paul Greengrass,动作 悬疑 冒险,美国 德国,8.5
谍影重重,2002,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,173862人评价,道格·里曼 Doug Liman,动作 悬疑 冒险,美国 德国 捷克,8.5
时空恋旅人,2013,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,168064人评价,理查德·柯蒂斯 Richard Curtis,剧情 爱情 奇幻,英国,8.6
迁徙的鸟,2001,最美的飞翔。,48341人评价,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,纪录片,法国 德国 意大利 西班牙 瑞士,9.1
荒野生存,2007,出门必备：本草纲目。,115591人评价,西恩·潘 Sean Penn,冒险 传记 剧情,美国,8.6
地球上的星星,2007,天使保护事件始末。,69861人评价,阿米尔·汗 Aamir Khan / 阿莫尔·古普特 Amole Gupte,剧情 儿童 家庭,印度,8.8
绿里奇迹,1999,天使暂时离开。,95184人评价,Frank Darabont,犯罪 剧情 奇幻 悬疑,美国,8.7
阿飞正传,1990,王家卫是一种风格，张国荣是一个代表。,156580人评价,王家卫 Kar Wai Wong,犯罪 剧情 爱情,香港,8.5
蝙蝠侠：黑暗骑士崛起,2012,诺兰就是保证。,265811人评价,克里斯托弗·诺兰 Christopher Nolan,剧情 动作 科幻 犯罪 惊悚,美国 英国,8.5
勇闯夺命岛,1996,类型片的极致。 ,129173人评价,迈克尔·贝 Michael Bay,动作 冒险,美国,8.5
燕尾蝶,1996,现实与童话交相辉映的旅程。,100460人评价,岩井俊二 Shunji Iwai,犯罪 剧情,日本,8.6
恐怖游轮,2009,不要企图在重复中寻找已经失去的爱。,273927人评价,克里斯托弗·史密斯 Christopher Smith,剧情 悬疑 惊悚,英国 澳大利亚,8.3
荒蛮故事,2014,无,107732人评价,Damián Szifron,剧情 喜剧 犯罪,阿根廷 西班牙,8.7
惊魂记,1960,故事的反转与反转，分裂电影的始祖。,71470人评价,Alfred Hitchcock,悬疑 恐怖,美国,8.8
卡萨布兰卡,1942,与同名歌曲无关。,111815人评价,Michael Curtiz,剧情 爱情 战争,美国,8.6
魔女宅急便,1989,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,171358人评价,宫崎骏 Hayao Miyazaki,动画 奇幻 冒险,日本,8.4
再次出发之纽约遇见你,2013,爱我就给我看你的播放列表。,142727人评价,约翰·卡尼 John Carney,喜剧 爱情 音乐,美国,8.5
英国病人,1996,"In memory, love lives forever...",161328人评价,安东尼·明格拉 Anthony Minghella,爱情 剧情 战争,美国 英国,8.4
这个男人来自地球,2007,科幻真正的魅力不是视觉效果能取代的。 ,155725人评价,理查德·沙因克曼 Richard Schenkman,剧情 科幻,美国,8.5
